Time,State of Charge (MWh),Charge Take from Hourly Market (MWh),Discharge to Hourly market (MWh),Is Charging in Hourly Market,Charge taken from Half Hourly Market (MWh),Discharge to Half Hourly Market (MWh),Is Charging in Half Hourly Market,Current Degradation (MWh),Total Cycles,Hourly Price (£/MWh),Half Hourly Price (£/MWh),Objective Value (£)
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89,48.47,-499431.6953007451
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89,49.81,-499431.6953007451
2,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.25e-05,0.125,55.49,53.65,-499431.6953007451
3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.8750000000000002e-05,0.1875,55.49,52.48,-499431.6953007451
4,0.33333333333333415,0.0,0.16666666666666582,0.0,0.0,0.0,0.0,2.0833333333333322e-05,0.20833333333333323,51.06,47.25,-499431.6953007451
5,0.16666666666666582,0.0,0.16666666666666582,0.0,0.0,0.0,0.0,2.2916666666666647e-05,0.22916666666666646,51.06,47.18,-499431.6953007451
6,0.16666666666666582,0.0,0.0,0.0,-0.0,0.0,-0.0,2.2916666666666647e-05,0.22916666666666646,44.76,40.24,-499431.6953007451
7,1.1166666666666658,0.0,0.0,1.0,1.0,0.0,1.0,3.541666666666666e-05,0.35416666666666663,44.76,38.56,-499431.6953007451
8,2.0666666666666655,0.0,0.0,1.0,0.9999999999999997,0.0,1.0,4.791666666666666e-05,0.4791666666666666,40.07,37.55,-499431.6953007451
9,3.016666666666665,-0.0,0.0,1.0,0.9999999999999997,0.0,1.0,6.0416666666666653e-05,0.6041666666666665,40.07,36.56,-499431.6953007451
10,3.5082998905708944,0.0,0.0,1.0,0.5175086567412941,0.0,1.0,6.688552487593283e-05,0.6688552487593282,44.42,39.25,-499431.6953007451
11,3.7541148853190967,0.0,0.0,1.0,0.2587526260507392,0.0,1.0,7.011993270156707e-05,0.7011993270156707,44.42,41.23,-499431.6953007451
12,3.7541148853190967,0.0,0.0,0.0,0.0,0.0,0.0,7.011993270156707e-05,0.7011993270156707,50.295,45.68,-499431.6953007451
13,3.7541148853190967,0.0,0.0,0.0,-0.0,0.0,-0.0,7.011993270156707e-05,0.7011993270156707,50.295,44.83,-499431.6953007451
14,2.927005793829554,0.0,0.8271090914895428,0.0,0.0,0.0,0.0,8.045879634518635e-05,0.8045879634518635,52.145,48.87,-499431.6953007451
15,2.0998967023400112,0.0,0.8271090914895428,0.0,0.0,0.0,0.0,9.079765998880564e-05,0.9079765998880563,52.145,50.73,-499431.6953007451
16,3.049896702340011,0.0,0.0,1.0,1.0,0.0,1.0,0.00010329765998880563,1.0329765998880562,48.33,45.01,-499431.6953007451
17,3.049896702340011,0.0,0.0,0.0,0.0,0.0,0.0,0.00010329765998880563,1.0329765998880562,48.33,48.87,-499431.6953007451
18,3.52489357736057,0.0,0.0,1.0,0.49999671054795713,0.0,1.0,0.0001095476188706551,1.095476188706551,44.595,44.41,-499431.6953007451
19,3.7623904523914087,0.0,0.0,1.0,0.24999671055877745,0.0,1.0,0.00011267257775263982,1.1267257775263981,44.595,42.59,-499431.6953007451
20,3.7623904523914087,0.0,0.0,0.0,-0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,44.37,46.15,-499431.6953007451
21,3.7623904523914087,-0.0,0.0,0.0,0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,44.37,46.19,-499431.6953007451
22,3.7623904523914087,0.0,0.0,0.0,-0.0,0.0,-0.0,0.00011267257775263982,1.1267257775263981,55.65,54.83,-499431.6953007451
23,3.7623904523914087,0.0,0.0,0.0,0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,55.65,60.57,-499431.6953007451
24,3.7623904523914087,0.0,0.0,0.0,0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,58.15,58.75,-499431.6953007451
25,3.7623904523914087,0.0,0.0,0.0,0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,58.15,59.88,-499431.6953007451
26,3.7623904523914087,0.0,0.0,0.0,0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,56.145,58.03,-499431.6953007451
27,3.7623904523914087,0.0,0.0,0.0,0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,56.145,59.72,-499431.6953007451
28,3.7623904523914087,0.0,0.0,0.0,-0.0,0.0,-0.0,0.00011267257775263982,1.1267257775263981,55.825,55.94,-499431.6953007451
29,3.7623904523914087,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,55.825,52.55,-499431.6953007451
30,3.3811952261957043,0.0,0.38119522619570434,0.0,-0.0,0.0,-0.0,0.00011743751808008614,1.1743751808008613,69.53,59.43,-499431.6953007451
31,3.0,0.0,0.38119522619570434,0.0,-0.0,0.0,-0.0,0.00012220245840753244,1.2220245840753243,69.53,61.01,-499431.6953007451
32,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00013470245840753245,1.3470245840753243,73.215,63.07,-499431.6953007451
33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00014720245840753245,1.4720245840753243,73.215,64.91,-499431.6953007451
34,0.6666666666666667,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.00015136912507419912,1.513691250741991,71.47,63.27,-499431.6953007451
35,0.3333333333333333,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0001555357917408658,1.5553579174086578,71.47,61.55,-499431.6953007451
36,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.00015692468062975467,1.5692468062975466,63.445,58.82,-499431.6953007451
37,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.00015831356951864355,1.5831356951864355,63.445,55.67,-499431.6953007451
38,1.0611111111111111,0.0,0.0,1.0,1.0,0.0,1.0,0.00017081356951864355,1.7081356951864355,53.81,46.13,-499431.6953007451
39,2.011111111111111,0.0,0.0,1.0,1.0,0.0,1.0,0.00018331356951864356,1.8331356951864355,53.81,47.03,-499431.6953007451
40,1.3407407407407406,0.0,0.6703703703703704,0.0,0.0,0.0,0.0,0.0001916931991482732,1.9169319914827319,57.775,48.91,-499431.6953007451
41,0.6703703703703703,0.0,0.6703703703703704,0.0,0.0,0.0,0.0,0.00020007282877790284,2.0007282877790282,57.775,45.87,-499431.6953007451
42,0.44691358024691347,0.0,0.22345679012345682,0.0,0.0,0.0,0.0,0.00020286603865444605,2.0286603865444603,52.83,46.95,-499431.6953007451
43,0.2234567901234568,0.0,0.22345679012345682,0.0,-0.0,0.0,-0.0,0.00020565924853098926,2.0565924853098925,52.83,46.71,-499431.6953007451
44,0.14897119341563786,0.0,0.07448559670781893,0.0,0.0,0.0,0.0,0.00020659031848983692,2.065903184898369,52.26,46.08,-499431.6953007451
45,0.07448559670781893,0.0,0.07448559670781893,0.0,0.0,0.0,0.0,0.00020752138844868468,2.0752138844868466,52.26,45.77,-499431.6953007451
46,0.037242798353909465,0.0,0.0,0.0,0.0,0.037242798353909465,0.0,0.00020798692342810854,2.079869234281085,44.18,45.25,-499431.6953007451
47,0.9872427983539094,0.0,0.0,1.0,1.0,0.0,1.0,0.00022048692342810852,2.204869234281085,44.18,39.33,-499431.6953007451
48,0.6581618655692729,0.0,0.32908093278463646,0.0,0.0,0.0,0.0,0.0002246004350879165,2.246004350879165,45.365,40.23,-499431.6953007451
49,0.32908093278463646,0.0,0.32908093278463646,0.0,0.0,0.0,0.0,0.00022871394674772445,2.2871394674772443,45.365,40.6,-499431.6953007451
50,1.2790809327846364,0.0,0.0,1.0,1.0,0.0,1.0,0.00024121394674772443,2.4121394674772443,42.74,38.95,-499431.6953007451
51,2.2290809327846364,0.0,0.0,1.0,1.0,0.0,1.0,0.00025371394674772446,2.5371394674772443,42.74,38.8,-499431.6953007451
52,3.1144077849001803,0.0,0.0,1.0,0.9319230022268885,0.0,1.0,0.0002653629842755605,2.6536298427556053,42.92,37.28,-499431.6953007451
53,3.55706829871773,0.0,0.0,1.0,0.4659584355974206,0.0,1.0,0.00027118746472052827,2.7118746472052826,42.92,37.66,-499431.6953007451
54,3.7783970995159732,0.0,0.0,1.0,0.2329776850507824,0.0,1.0,0.00027409968578366307,2.7409968578366306,46.91,41.06,-499431.6953007451
55,3.7783970995159732,-0.0,0.0,0.0,0.0,0.0,-0.0,0.00027409968578366307,2.7409968578366306,46.91,44.07,-499431.6953007451
56,3.7783970995159732,0.0,0.0,0.0,-0.0,0.0,-0.0,0.00027409968578366307,2.7409968578366306,44.71,42.21,-499431.6953007451
57,3.7783970995159732,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.00027409968578366307,2.7409968578366306,44.71,43.08,-499431.6953007451
58,2.7783970995159732,0.0,1.0,0.0,0.0,0.0,0.0,0.00028659968578366305,2.8659968578366306,60.505,54.59,-499431.6953007451
59,1.7783970995159732,0.0,1.0,0.0,0.0,0.0,0.0,0.0002990996857836631,2.9909968578366306,60.505,55.53,-499431.6953007451
60,1.1496680412453903,0.0,0.0,0.0,0.0,0.6287290582705829,0.0,0.00030695879901204535,3.0695879901204535,56.175,58.52,-499431.6953007451
61,1.1496680412009883,0.0,0.0,0.0,-0.0,0.0,-0.0,0.00030695879901204535,3.0695879901204535,56.175,48.16,-499431.6953007451
62,2.0996680412009883,0.0,0.0,1.0,1.0,0.0,1.0,0.0003194587990120454,3.1945879901204535,47.73,43.64,-499431.6953007451
63,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,47.73,48.24,-499431.6953007451
64,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,53.42,51.96,-499431.6953007451
65,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,53.42,53.68,-499431.6953007451
66,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,48.985,50.84,-499431.6953007451
67,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,48.985,50.46,-499431.6953007451
68,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,50.355,51.01,-499431.6953007451
69,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,50.355,51.98,-499431.6953007451
70,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,49.98,52.38,-499431.6953007451
71,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,49.98,52.59,-499431.6953007451
72,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,48.205,51.94,-499431.6953007451
73,2.0996680412009883,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194587990120454,3.1945879901204535,48.205,50.2,-499431.6953007451
74,3.049668041200988,0.0,0.0,1.0,1.0,0.0,1.0,0.00033195879901204537,3.3195879901204535,46.725,46.63,-499431.6953007451
75,3.524664916221547,-0.0,0.0,1.0,0.4999967105479568,0.0,1.0,0.0003382087578939763,3.382087578939763,46.725,45.63,-499431.6953007451
76,3.524664916221547,0.0,0.0,1.0,-0.0,0.0,0.0,0.0003382087578939763,3.382087578939763,44.395,46.09,-499431.6953007451
77,3.5246649162215475,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0003382087578939763,3.382087578939763,44.395,45.56,-499431.6953007451
78,3.5246649162215475,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0003382087578939763,3.382087578939763,62.15,54.11,-499431.6953007451
79,3.5246649162215475,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0003382087578939763,3.382087578939763,62.15,55.46,-499431.6953007451
80,3.5246649162215475,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0003382087578939763,3.382087578939763,65.17,53.69,-499431.6953007451
81,3.5246649162215475,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0003382087578939763,3.382087578939763,65.17,64.71,-499431.6953007451
82,2.5246649162215475,0.0,1.0,0.0,0.0,-0.0,0.0,0.00035070875789397634,3.507087578939763,85.9,77.94,-499431.6953007451
83,1.5246649162215475,0.0,1.0,0.0,0.0,0.0,0.0,0.0003632087578939763,3.632087578939763,85.9,73.13,-499431.6953007451
84,1.0164432774810317,0.0,0.5082216387405158,0.0,0.0,0.0,0.0,0.0003695615283782328,3.6956152837823275,79.18,71.63,-499431.6953007451
85,0.5082216387405158,0.0,0.5082216387405158,0.0,0.0,-0.0,0.0,0.0003759142988624892,3.759142988624892,79.18,65.18,-499431.6953007451
86,0.33881442582701055,0.0,0.16940721291350527,0.0,0.0,0.0,0.0,0.000378031889023908,3.78031889023908,65.785,60.09,-499431.6953007451
87,0.16940721291350527,0.0,0.16940721291350527,0.0,0.0,-0.0,0.0,0.0003801494791853268,3.801494791853268,65.785,54.67,-499431.6953007451
88,0.08470360645675264,0.0,0.0,0.0,0.0,0.08470360645675264,0.0,0.0003812082742660363,3.8120827426603623,59.045,53.43,-499431.6953007451
89,0.08470360645675264,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0003812082742660363,3.8120827426603623,59.045,49.58,-499431.6953007451
90,0.08470360645675264,0.0,0.0,0.0,0.0,0.0,0.0,0.0003812082742660363,3.8120827426603623,50.485,50.96,-499431.6953007451
91,0.08470360645675264,0.0,0.0,0.0,0.0,0.0,0.0,0.0003812082742660363,3.8120827426603623,50.485,47.73,-499431.6953007451
92,0.08470360645675264,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0003812082742660363,3.8120827426603623,52.12,47.42,-499431.6953007451
93,1.0347036064567525,0.0,0.0,1.0,1.0,0.0,1.0,0.0003937082742660362,3.937082742660362,52.12,47.13,-499431.6953007451
94,1.0347036064567525,0.0,0.0,0.0,0.0,0.0,0.0,0.0003937082742660362,3.937082742660362,49.935,48.52,-499431.6953007451
95,1.9847036064567525,0.0,0.0,1.0,1.0,0.0,1.0,0.00040620827426603623,4.062082742660362,49.935,43.08,-499431.6953007451
